PAX_POINTS
GHANPUR 
GHANPUR X ROAD
GHATKESAR
GIRNIBAVI
GODAVARIKHANI BS
GOLETI TOWNSHIP
GOLLAPUDI WYRA
GOLLAPUDI-VJA
GONEGANDLA BS
GOOTY BS
GOPALAPURAM BS
GOPALPET
GOUTAMNAGAR-FCI
GOVIND NAGAR(BRVL/MMB)
GOVINDARAOPET BS-HNK
GOVT.HOSPITAL-KKD
GOWRARAM
GUDEPPAD
GUDIHATNUR BS
GUDIVADA BS
GUDUR BS
GUDUR BYPASS
GUDUR WARANGAL 
GUNDLAPALLY
GUNJAPADUGU BS
GUNTUPALLY
GUNTUR
GUNTUR BY PASS
GURRALAGONDI
GURUDWAR JN -CITY BUS STOP 
HABSIPUR-SDPT
HAFEEZPET-HYD
HAJIPUR
HALIYA
HANMAKONDA BS
HANUMAN JUNCTION
HANUMAN JUNCTION BS
HAYATNAGAR
HAZIPUR-DONABANDA BS
HEBBAL OPP TO PS
HILL COLONY BS
HITEC CITY
HUBLI BS
HUBSIGUDA
HUMNABAD BS
HUSNABAD BS
HUZURABAD BS
HUZURNAGAR BS
HYDERABAD DARSHAN 2
HYDERABAD MGBS
HYDERABAD OLD CBS HANGER-MGBS
HYDERNAGAR
I.S SADAN
IB TANDUR BS
IBRAHIMPATNAM BS - VIJAYAWADA
ICHODA BS
IIT KANDI
INDALVAI BS
INDANAPALLY
INDAPUR BS
INDREVALLI
INDREVALLI BS
IT HUB KHAMMAM
JADCHERLA BS
JAGADALPUR BS
JAGADGIRIGUTTA
JAGANNADAPURAM BS
JAGANNATH PURAM BRIDGE-KKD
JAGGAIHPET BS
JAGGAMPET BS
JAGGIAHPET HIGH WAY
JAGTYAL BS
JAINUR
JAIPUR BS
JAIPUR POWER PLANT
JAKKAPUR
JALKOT
JALLAPUR
JAMKHED
JAMMIKUNTA BS
JANAGAM BS
JANAMPETA BS
JANGALPALLY
JANGAREDDY GUDEM BS
JANGOAN
JANNARAM
JANNARAM BS
JBS
JEDCHERLA-OLD BS
JEEDIMETLA
JILLELA X RD
JNTU
JNTU X ROAD HYD
JOGIPET BS
JSS MEDICAL COLLEGE MYSORE
JULURUPADU BS
JUVVALAPALEM BS
KAARTHIKA MAASAM PACKAGE 1-ECIL
KAARTHIKA MASAM DARSHINI-2-ECIL
KAARTHIKA MASAM DIVYA DARSHINI-1
KACHIGUDA STN
KADAM BS
KADAPA BS
KADIRI BS
KADTAL BS
KAGAZNAGAR BS
KAGAZNAGAR X ROAD
KAKINADA BS
KALAKOTA
KALESWARAM BS
KALIDINDI BS
KALLERU-MOTU BS
KALLUR BS
KALVA VODDU
KALVAKURTHY BYPASS
KALWAKURTHY BS
KAMALAPURAM BS
KAMANPUR
KAMANPUR X ROAD 
KAMAREDDY BS
KAMBHAM PADU
KAMINENI HOSPITAL
KAMMARPALLY BS
KANCHANBAGH
KANCHIKACHERLA BS
KANDUKUR
KANDUKUR BS
KANDUKUR-KDTL
KANDUKUR-SATTUPALLY BS
KANIGIRI BS
KANIPAKAM
KANKIPADU BS
KANNAPURAM BS
KARAKAM BADI
KARAMPUDI BS
KARATAGI
KAREPALLY X ROAD
KARIMNAGAR
KARIMNAGAR BS
KASIPETA BS
KATARAM BS
KAVALI BS
KAVALI BYPASS
KAZIPETA BUS STOP
KCB GARDEN-ADB
KHAMMAM
KHAMMAM BS
KHAMMAM OLD BUS STATION
KHANAPUR BS
KODAD
KODAD BS
KODAD BY PASS
KODAKANDLA
KODUMUR BS
KOLLAPUR BS
KOMPALLY
KOMURAVELLY
KOMURAVELLY X ROAD 
KONDAGATTU
KONDAMALLEPALLY
KONDAPUR-HYD-SRIKRISHNA MEDICALS
KONIJERLA
KOPPAL
KORUTLA BS
KOTHAGUDA-HYD
KOTHAGUDEM
KOTHAGUDEM BS
KOTHAKOTA BS
KOTHAPALLI
KOTHAPET BS
KOTHAPETA-AMP
KOTIPALLI BS RJY
KOUTALA BS
KOVVUR BS
KOVVUR BYPASS
KOVVURU MAIN ROAD
KOYYALAGUDEM
KOYYALAGUDEM BS
KOYYUR
KPHB CITY BUS STOP
KPHB COLONY
KSTM PALLY X ROAD 
KTPS COLONY
KUKATPALLY VILLAGE
KUKKUNURU BS
KUKKUNURUPALLY
KUKNURPALLY
KUNTA BCM 
KUNTA BS
KUNTA BS-MRKP
KURICHEDU BS
KURNOOL
KURNOOL BS
KUSHAIGUDA
KUSUMANCHI
L.B.NAGAR- C.COFFEE DAY
LAKDIKAPOOL
LALA CHERUVU RJY
LB NAGAR
LB NAGAR X ROAD
LEELA MAHAL CIRCLE TPT
LINGAMPALLY X ROAD
LUXETTIPET
LUXETTIPET BS
M H B COLONY
MACHERLA BS
MACHILIPATNAM BS
MADANAPALLY BS
MADEENAGUDA
MADHIRA
MADHIRA BS
MADHURAWADA-VSP
MAHABUBABAD BS
MAHABUBNAGAR BS
MAHADEVPUR BS
MAHOL BS
MAISI GANDI
MAKTHAL BS
MALKI PURAM BS
MALL BS
MALLAMPALLY
MALLAPUR
MALLEPALLY BS
MALLIAL BS
MALLURU BS
MALYAL X RD
MAMDA BS
MANCHERIAL BS
MANDALAPALLI BS
MANDAMALLAMMA
MANDAMARRI BS
MANDAMARRI MARKET
MANDAPETA BS
MANDARIPET
MANGALAM RTO OFFICE
MANGAPET BS
MANNAEKHELLI BS
MANNANOOR
MANTHANI BS
MANTRALAYAM BS
MANUGUR BS
MANVI BS
MARIKAL BS
MARKAPURAM
MARKAPURAM BS
MARKETPOINT GNT
MARLAPADU BS
MARLAPADU VEMSOOR
MARTHAHALLI  MUNESHWARA TEMPLE
MARTHAHALLI - MUNEESWARA TEMPLE OPP SPICE GARDEN
MAVALA-ADB
MEDAK BS
MEDARAM BS
MEDARPET
MEDCHAL
MEDERAMETLA
MEDERAMETLA BS
MEDIPALLY
MEHDIPATNAM
MEHDIPATNAM DEPOT
MEHIDIPATNAM
MEHIDIPATNAM RYTHU BAZAR
METPALLY BS
MHB COLONY
MIRYALGUDA
MIRYALGUDA BS
MIYAPUR
MIYAPUR BLRM X ROAD
MIYAPUR DEPOT
MIYAPURXRD
MOGHAL KA NALA
MOHAMEDNAGAR
MOLAKALA CHERUVU BS
MONDIKUNTA BS
MORAMPALLY BANJARA
MORTHAD BS
MOTHEY
MOTHKUR
MOTU
MP BANJAR
MP OPP PLR 9 RYTHU BAZAR
MRO OFFICE B-POWER HOUSE
MUDHELI X RD
MUDHOLE BS
MUDIGUBBA
MUDINEPALLI BS
MUKKAMALA BS
MULAKALAPALLI BS
MULUGU BS
MULUGU X  ROAD
MULUGU-GPP
MUNTHAVARI CENTRE CRL
MURUGESH PALYA
MY HOME BHUJA
MYDUKU BYPASS
MYDUKUR BS
MYHOME CEMENT
MYLAVARAM
MYSORE BS
NAAGAARAM -ECIL
NACHARAM
NACHARAM X ROAD
NAD X ROAD
NAGOLEXRD
NAGPUR BS
NAIDUPET BS
NAKARIKALU-ADK
NAKKAPALLY
NAKKAPALLY X ROAD
NAKREKALBS
NALDURG BS
NALGONDA BS
NALGONDA BYPASS
NALLAJERLA BS
NAMPALLY
NANDIGAMA BS
NANDYAL BS
NANDYAL BY PASS
NARAYANAPURAM BS
NARAYANKHED BS
NARAYANPET BS
NARKETPALLY BS
NARSAMPET BS
NARSAPUR BS
NARSARAOPET BS
NASRULLABAD
NAVABHARAT
NAYAKANGUDEM
NAYUDUPETA BS
NELAKONDAPALLI
NELLORE BS
NELLORE CITY
NEMALI BS
NERADIGONDA BS
NEREDMET X ROAD
NEREDUCHARLA BS
NERELLA
NIDAMANUR
NIDAMANUR MLG
NIMS
NIRMAL
NIZAMABAD
NIZAMABAD BS
NIZAMPET
NIZAMPET VILLAGE
NIZAMPET-NKD
NMDC
NRML BS
NTPC
NTPC MEDIPALLY CENTER
NTR BUS STATION GNT
NTR CIRCLE KHAMMAM
NTR CIRCLE KMM
NUZVID BS
OMERGA BS
ONGOLE
ONGOLE BS
ONGOLE BYPASS
ORR
OSMANABAD BS
P KUNTA
PADAMATA  VJA
PAHADI SHARIEF
PALADUGU
PALAKOLLU BS
PALAMANERU BS
PALEM
PALER
PALERU
PALLAVI GARDEN
PALVANCHA BS
PAMARRU BS
PAMURU BS
PANAMA GODOWNS VANASTHALIPURAM
PANCHARAMALU
PANDARIKODA BS
PANDARIPUR BS
PANDITHAPURAM
PANGIDI
PANVEL BS
PANYAM
PARIGI BS
PARKALA BS
PARYATAKA BHAVAN
PASRA BS
PATANCHERU BS
PATHALANKAPALLI
PATNY
PATVARI GUDEM BS
PEBBAIR BS
PEDAPALLI BS
PEDDA AMBERPET
PEDDA SAMUDRALA
PEDDAKOTHAPALLY
PEDDAPALLY BS
PEDDAPURAM
PEDDAVOORA
PENUGANGA BS
PENUGONDA BS
PERECHARLA BS
PERUR Y JUNCTION-AMP
PIDUGURALLA
PIDUGURALLA BS
PIMPRI
PNBS-VJA
POCHAMPAD
POCHAMPAD XROAD
PODILI BS
POLAVARAM BS
PONNALUR
PONNUR BS
POODUR BS
PORANKI
POTHANNA COLONY
PRAGATHINAGAR
PRAGNAPUR BS
PRODDUTUR BS
PSR BUS STATION
PUDURU
PUNE HADAPSAR  OPP VAISHALI HOTEL
PUNE RLYSTN ST BUS STOP
PUNGANUR BS
PYAPILI
PYLON
RAHMATABAD BS
RAICHUR BS
RAILWAY KODUR BS
RAINDLAGUDA X RD
RAJAHMUNDRY
RAJAHMUNDRY BS
RAJAMPET BS
RAJAMPET BYPASS
RAJIV GANDHI INT AIRPORT BS
RAJUPET BS
RAMACHANDRAPURAM BS KKD
RAMANTHAPUR
RAMANTHAPUR PUBLIC SCHOOL
RAMAVARAPUPADU RING-VJA
RAMAYAMPET BS
RAMNAGAR APPARTMENTS-ADB
RAMOJI FILM CITY
RANASTHALAM BS
RANIGUNJ
RAURI BS
RAVULAPALEM
RAVULAPALEM BS
RAYAGIRI
RAYALA CHERUVU BS
RAYTHU BAZAR-JNTU
RAZOLU BS
REBBANA BS
REGONDA
REJARLA-SPL
RENIGUNTA
RETHIBOWLI
RGIA 
RIMS HOSP-ADB
ROTARY NAGAR KMM
RUDRAMPUR
RUDROOR
S.R.NAGAR  CITY BUS STOP METRO PILLAR NO 1038 TO 1039
SADASIVAPET BS
SAGAR RING ROAD
SAINIKPURI-NEAR VAYUPURI BS
SAMARLAKOTA BS
SANGAREDDY
SANGAREDDY BS
SANGAREDDY X RD
SANGEETH
SANGEETH - PUSHPAK BUS STOP
SANIGARAM
SANTHAMAGULAR X ROAD
SANTHAMAGULURU
SANTHAMANGALUR X
SANTOSHNAGAR RELIANCE DIGITAL
SARAPAKA
SASTHAPUR BS
SATHUPALLY
SATRAMPADU ELR
SATTANPALLY KADAM
SATTENAPALLY
SATTENAPALLY BS
SATTUPALLY BS
SECRETARIAT
SECUNDERABAD RLYSTN
SEETHAMPETA
SHADNAGAR BS
SHADNAGAR X ROAD
SHAIKPET DARGA-INTERNATIONAL SCHOOL
SHAKTHINAGAR
SHAMSHABAD
SHANKARAMPET
SHAPOORNAGAR
SHAPURNAGAR-JDM
SHILPARAMAM
SHIRIDI ST BUS STATION
SHIVAM
SHOLAPUR BS
SIDDARAM SPL
SIDDIPET BS
SIDDIPET BYPASS
SINDANOOR BS
SINGARAYA KONDA
SINGARAYA KONDA BS
SINGARENI DARSHAN BS
SIRICILLA
SIRICILLA BS
SIRIGIRI PADU
SIRIPURAM
SIRIPURAM K.G
SIRONCHA BS
SIRPUR BS
SOMAGUDEM X ROAD BS
SOMANPALLY
SONALA BS
SRI KALA HASTHI BS
SRI KALA HASTI  BYPASS
SRIKAKULAM BS
SRIRAMPUR COLONY BS
SRIRAMPURCOLONY BS
SRISAILAM
SRISAILAM BS
STEEL PLANT-VSP
SUCHITRA
SUJATANAGAR
SUJATHA NAGAR
SUKUMA BS
SULLURUPET BS
SULTANABAD BS
SUNNIPENTA BS
SURYAPET
SURYAPET BS
SWATHI CENTER BVPM -VJA
T P GUDEM BYPASS
TADEPALLI GUDEM BS
TADIPATRI BS
TADVAI BS
TAGARAPU VALASA
TAGARUPUVALSA BS
TALLADA BS
TALLAPET
TANDUR BS
TANGUTURU 
TANGUTURU BS
TANUKU BS
TANUKU BYPASS
TARNAKA
TARNAKA - PUSHPAK BUS STOP
TARNAKA RTC HOSPITAL
TEKULAPALLI BS
TELEPHONE BHAVAN
TELEPHONE BHAVAN-LKPL
TELKAPALLY
TENALI BS
THANE BS
THORRUR
TIMBURNI
TIMMAJIPET
TIMMAPUR-SDPT
TIRUMALA GIRI
TIRUMALAGIRI
TIRUPATI BS
TIRUVURU BS
TONGPAL BS
TOOPRAN BS
TORRUR BS
TP GUDEM BRIDGE
TRIPURANTHAKAM
TS BORDER
TULJAPUR
TUMBURU BS 
TUNI BS
TUNI BY PASS
UDAYAGIRI BS
UDUMPUR
UMERGA BS
UPPAL  CITY BUS TERMINAL
UPPAL DEPOT
UPPAL PS-HNK BS
UPPAL RAJYALAXMI THEATER
UPPAL X RD
UPPAL X RD- PUSHPAK BUS STOP
UPPAL X ROAD DIST BUS STOP
UPPER PALLY
UPPERU
UTNOOR
UTNOOR BS
V K PADU BS
V P SOUTH
VANASTHALIPURAM
VANGOOR X RD
VARADHI-CENTER VJA
VARDANNAPET BS
VARDHANNAPETA
VARNI BS
VATTAVARLA PALLY
VEERAVASARAM BS
VELDANDA
VELDURTY BS
VELGATUR
VEMULAWADA BS
VENKATAPURAM BS
VENKATAPURAM-SPL BS
VENKATRAOPET
VIDYA NAGAR
VIJAYAWADA
VIJAYAWADA BS
VIKARABAD BS
VINAYAKAPURAM
VINJAMURU BS
VINUKONDA BS
VIPPALAMADAKA
VISAKHAPATNAM
VISANNAPETA-SPL
VUTUKURU
VUYYURU BS
WANAPARTHY BS
WARANGAL BS
WARANGAL X ROAD KMM
WAVE ROCK CITY BUS STOP
WYRA
WYRA BS
YADADRI
YADAGIRIGUTTA BS
YADIKI BS
YAGNA VATIKA-SSLM
YALAHANKA
YAPABS
YATRINIVAS
YELLA REDDY-MDK BS
YELLANDU BS
YEMMIGANUR BS
YEPOOR BS
YERRA GONDA PALEM BS
YERRA GUNTA
YERRA VALLI X RD- PBR
YERRAGUNTA BS
YERRAGUNTAPALEM BS
YERRAVARAM
YERRAVELLI X ROAD
YERRUPALEM
YOVATHMAL BS
ZAHIRABAD BS
ZP CENTER KHAMMAM
