PAX_CITIES
SRIRAMPURCOLONY
SRISAILAM
SUJATANAGAR
SUKUMA
SULLURUPET
SULTANABAD
SUNNIPENTA
SURYAPET
TADEPALLI GUDEM
TADIPATRI
TADVAI
TAGARAPU VALASA
TAGARUPUVALSA
TALLADA
TALLAPET
TANDUR
TANGUTURU 
TANUKU
TARNAKA
TEKULAPALLI
TELKAPALLY
TENALI
THANE
THORRUR
TIMBURNI
TIMMAJIPET
TIMMAPUR-SDPT
TIRUMALAGIRI
TIRUPATHI
TIRUVURU
TONGPAL
TOOPRAN
TRIPURANTHAKAM
TS BORDER
TULJAPUR
TUMBURU- SPL
TUNI
UDAYAGIRI
UDUMPUR
UMERGA
UPPAL X RD
UPPERU
UTNOOR
V K PADU
V P SOUTH
VANGOOR
VARDANNAPET
VARDHANNAPETA
VARNI
VATTAVARLA PALLY
VEERAVASARAM
VELDANDA
VELDURTY
VELGATUR
VEMULAWADA
VENKATAPURAM
VENKATAPURAM-SPL
VENKATRAOPET
VIJAYAWADA
VIKARABAD
VINAYAKAPURAM
VINJAMURU
VINUKONDA
VIPPALAMADAKA
VISAKHAPATNAM
VISANNAPETA-SPL
VM BANZARA
VUTUKURU
VUYYURU
WANAPARTHY
WARANGAL-HANUMAKONDA
WYRA
YADAGIRI GUTTA
YADIKI
YAPA
YATRINIVAS
YELLA REDDY-MDK
YELLANDU
YEMMIGANUR
YEPOOR
YERRA GONDA PALEM
YERRA GUNTA
YERRA VALLI X RD- PBR
YERRAGUNTA
YERRAGUNTAPALEM
YERRAVARAM
YERRAVELLI X ROAD
YERRUPALEM
YOVATHMAL
ZAHIRABAD
